May  5 11:29:46 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (76.55%)#033[0m
May  5 11:30:18 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (77.16%)#033[0m
May  5 11:30:50 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다마다다다  (76.38%)#033[0m
May  5 11:31:07 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다더마다다나 (76.62%)#033[0m
May  5 11:31:31 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다나다마나다나 (75.40%)#033[0m
May  5 11:31:39 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나마다다다  (77.61%)#033[0m
May  5 11:32:45 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (80.13%)#033[0m
May  5 11:33:26 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다다다0다다 (78.11%)#033[0m
May  5 11:36:03 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다1마다다다 (75.62%)#033[0m
May  5 11:36:28 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (77.65%)#033[0m
May  5 11:37:48 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나머다다다  (78.62%)#033[0m
May  5 11:38:21 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나너다마나다나 (77.03%)#033[0m
May  5 11:38:38 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다마다다다 (78.35%)#033[0m
May  5 11:38:56 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다0다다더1나 (76.77%)#033[0m
May  5 11:39:04 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다마다다다 (76.79%)#033[0m
May  5 11:39:13 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다마다다다 (76.10%)#033[0m
May  5 11:39:47 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (76.15%)#033[0m
May  5 11:39:56 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다머다다다  (76.77%)#033[0m
May  5 11:40:40 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다마다다다  (77.47%)#033[0m
May  5 11:41:14 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (76.07%)#033[0m
May  5 11:41:23 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (75.26%)#033[0m
May  5 11:42:05 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (78.64%)#033[0m
May  5 11:42:46 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다다마다다다 (75.04%)#033[0m
May  5 11:42:55 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다마다다다  (77.12%)#033[0m
May  5 11:47:00 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나다마다마  (75.44%)#033[0m
May  5 11:47:08 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (75.57%)#033[0m
May  5 11:47:57 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다머다다다  (78.97%)#033[0m
May  5 11:48:06 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다버다다나 (77.13%)#033[0m
May  5 11:50:25 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나다마나다다 (78.25%)#033[0m
May  5 11:50:49 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나마다다다  (77.88%)#033[0m
May  5 11:51:07 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (77.59%)#033[0m
May  5 11:51:45 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나다마다다나 (76.37%)#033[0m
May  5 11:52:24 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나마다다다  (77.14%)#033[0m
May  5 11:52:41 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다더다다다다다 (75.77%)#033[0m
May  5 11:53:14 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나마다다다  (78.64%)#033[0m
May  5 11:53:22 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다마다다다  (77.11%)#033[0m
May  5 11:54:03 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다5머다다다 (76.77%)#033[0m
May  5 11:55:00 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나다머다다다 (77.73%)#033[0m
May  5 11:55:25 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다다다다다다 (76.58%)#033[0m
May  5 11:55:50 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다너나  (77.75%)#033[0m
May  5 11:55:58 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다머다다다  (77.03%)#033[0m
May  5 12:00:42 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다마다다다  (76.07%)#033[0m
May  5 12:00:51 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다다다다다 (77.11%)#033[0m
May  5 12:03:35 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (76.61%)#033[0m
